,Date,State,Confirmed,Deceased,Recovered,State_Name
6791,25-Aug-20,CH,174,3,67,Chandigarh
6792,25-Aug-20,CT,1287,15,308,Chhattisgarh
6793,25-Aug-20,DD,0,0,0,Daman and Diu
6794,25-Aug-20,DL,1544,17,1155,Delhi
6795,25-Aug-20,DN,21,0,33,Dadra and Nagar Haveli and Daman and Diu
6796,25-Aug-20,GA,392,9,315,Goa
6797,25-Aug-20,GJ,1096,20,1011,Gujarat
6798,25-Aug-20,HP,53,1,164,Himachal Pradesh
6799,25-Aug-20,HR,1148,10,1091,Haryana
6800,25-Aug-20,JH,1056,12,725,Jharkhand
6801,25-Aug-20,JK,701,14,389,Jammu and Kashmir
6802,25-Aug-20,KA,8161,148,6814,Karnataka
6803,25-Aug-20,KL,2375,10,1456,Kerala
6804,25-Aug-20,LA,90,1,32,Ladakh
6805,25-Aug-20,LD,0,0,0,Lakshadweep
6806,25-Aug-20,MH,10425,329,12300,Maharashtra
6807,25-Aug-20,ML,42,0,43,Meghalaya
6808,25-Aug-20,MN,82,2,99,Manipur
6809,25-Aug-20,MP,1379,19,1079,Madhya Pradesh
6810,25-Aug-20,MZ,35,0,3,Mizoram
6811,25-Aug-20,NL,38,0,215,Nagaland
6812,25-Aug-20,OR,2752,9,2545,Odisha
6813,25-Aug-20,PB,1293,49,788,Punjab
6814,25-Aug-20,PY,567,8,331,Puducherry
6815,25-Aug-20,RJ,1370,13,1526,Rajasthan
6816,25-Aug-20,SK,29,0,120,Sikkim
6817,25-Aug-20,TG,2579,9,1752,Telangana
6818,25-Aug-20,TN,5951,107,6998,Tamil Nadu
6819,25-Aug-20,TR,293,6,73,Tripura
6820,25-Aug-20,TT,66873,1066,64151,Total
6821,25-Aug-20,UN,0,0,0,State Unassigned
6822,25-Aug-20,UP,5006,72,4647,Uttar Pradesh
6823,25-Aug-20,UT,485,6,289,Uttarakhand
6824,25-Aug-20,WB,2964,58,3251,West Bengal
6825,25-Jul-20,AN,31,0,2,Andaman and Nicobar Islands
6826,25-Jul-20,AP,7813,52,3320,Andhra Pradesh
6827,25-Jul-20,AR,70,0,36,Arunachal Pradesh
6828,25-Jul-20,AS,1165,1,1294,Assam
6829,25-Jul-20,BR,2803,11,1688,Bihar
6830,25-Jul-20,CH,29,0,20,Chandigarh
6831,25-Jul-20,CT,363,3,116,Chhattisgarh
6832,25-Jul-20,DD,0,0,0,Daman and Diu
6833,25-Jul-20,DL,1142,29,2137,Delhi
6834,25-Jul-20,DN,37,0,13,Dadra and Nagar Haveli and Daman and Diu
6835,25-Jul-20,GA,146,4,182,Goa
6836,25-Jul-20,GJ,1081,22,782,Gujarat
6837,25-Jul-20,HP,95,0,28,Himachal Pradesh
6838,25-Jul-20,HR,783,7,701,Haryana
6839,25-Jul-20,JH,277,7,167,Jharkhand
6840,25-Jul-20,JK,523,9,300,Jammu and Kashmir
6841,25-Jul-20,KA,5072,72,2403,Karnataka
6842,25-Jul-20,KL,1103,5,1049,Kerala
6843,25-Jul-20,LA,30,1,22,Ladakh
6844,25-Jul-20,LD,0,0,0,Lakshadweep
6845,25-Jul-20,MH,9251,257,7227,Maharashtra
6846,25-Jul-20,ML,59,0,7,Meghalaya
6847,25-Jul-20,MN,30,0,29,Manipur
6848,25-Jul-20,MP,716,8,622,Madhya Pradesh
6849,25-Jul-20,MZ,29,0,0,Mizoram
6850,25-Jul-20,NL,50,3,4,Nagaland
6851,25-Jul-20,OR,1320,10,728,Odisha
6852,25-Jul-20,PB,468,9,201,Punjab
6853,25-Jul-20,PY,139,3,78,Puducherry
6854,25-Jul-20,RJ,1120,11,759,Rajasthan
6855,25-Jul-20,SK,22,0,5,Sikkim
6856,25-Jul-20,TG,1593,8,998,Telangana
6857,25-Jul-20,TN,6988,89,7758,Tamil Nadu
6858,25-Jul-20,TR,105,0,79,Tripura
6859,25-Jul-20,TT,50072,703,37125,Total
6860,25-Jul-20,UN,0,0,0,State Unassigned
6861,25-Jul-20,UP,2971,39,2191,Uttar Pradesh
6862,25-Jul-20,UT,244,1,54,Uttarakhand
6863,25-Jul-20,WB,2404,42,2125,West Bengal
6864,25-Jun-20,AN,2,0,0,Andaman and Nicobar Islands
6865,25-Jun-20,AP,553,7,209,Andhra Pradesh
6866,25-Jun-20,AR,12,0,4,Arunachal Pradesh
